,Age,Gender,Technology_Usage_Hours,Social_Media_Usage_Hours,Gaming_Hours,Screen_Time_Hours,Mental_Health_Status,Stress_Level,Sleep_Hours,Physical_Activity_Hours,Support_Systems_Access,Work_Environment_Impact,Online_Support_Usage
53,59,Other,11.63,4.96,2.46,6.25,Good,Medium,7.1,0.52,No,Positive,Yes
54,60,Other,5.55,7.83,1.51,8.23,Fair,Medium,4.62,2.99,No,Negative,No
55,40,Male,9.24,7.78,2.29,9.01,Poor,High,7.35,4.2,Yes,Neutral,No
56,62,Female,6.98,3.38,1.54,8.35,Fair,High,6.03,1.84,Yes,Negative,Yes
57,44,Male,5.55,5.35,2.39,5.94,Poor,Medium,8.2,9.67,No,Negative,No
58,28,Other,5.32,6.4,1.58,4.74,Fair,High,4.63,4.32,Yes,Neutral,Yes
59,59,Male,11.15,7.07,2.66,8.57,Fair,Low,8.6,4.82,Yes,Negative,No
60,39,Female,4.53,3.21,3.15,2.4,Poor,Low,4.08,9.41,No,Negative,No
61,32,Female,3.22,2.13,4.15,5.66,Excellent,Medium,5.37,8.89,Yes,Positive,Yes
62,55,Male,3.73,1.41,4.16,12.86,Poor,Low,8.64,8.36,Yes,Positive,Yes
63,49,Female,4.22,4.3,1.23,13.36,Fair,Medium,6.16,1.1,No,Negative,Yes
64,34,Other,7.93,2.95,1.43,13.46,Good,Medium,7.59,1.73,Yes,Positive,No
65,21,Other,5.95,5.04,1.64,13.2,Excellent,Low,6.77,9.5,Yes,Neutral,No
66,25,Female,11.56,2.03,2.55,6.4,Fair,High,4.13,2.6,Yes,Neutral,No
67,40,Male,9.98,3.74,1.06,14.73,Fair,Low,8.38,6.66,No,Positive,Yes
68,53,Male,1.47,4.36,2.1,1.07,Good,Medium,5.2,1.89,Yes,Negative,No
69,60,Male,5.7,5.84,3.97,1.36,Poor,Medium,8.96,3.83,No,Neutral,No
70,55,Female,3.58,6.62,1.55,8.34,Excellent,Medium,7.89,2.24,Yes,Positive,Yes
71,62,Female,8.3,4.01,0.43,13.61,Good,Low,4.39,7.53,No,Neutral,Yes
72,40,Other,7.22,3.36,2.86,9.66,Excellent,High,4.07,9.86,No,Neutral,No
73,33,Female,9.63,2.89,3.19,6.26,Good,Low,5.92,3.66,No,Positive,Yes
74,57,Male,5.13,0.63,4.04,2.37,Fair,Medium,5.48,9.37,Yes,Negative,No
75,27,Female,1.79,2.5,0.62,8.65,Poor,High,8.01,5.28,Yes,Negative,Yes
76,47,Female,11.46,4.81,4.68,1.2,Fair,Medium,6.43,7.89,No,Neutral,Yes
77,32,Other,10.7,6.0,1.09,14.62,Excellent,High,4.31,8.62,Yes,Negative,No
78,59,Other,8.72,4.89,4.94,6.37,Poor,Medium,7.47,3.44,No,Positive,No
79,21,Male,6.24,0.37,2.25,13.77,Excellent,Low,7.61,5.63,Yes,Positive,Yes
80,50,Other,8.45,1.31,4.63,4.71,Good,Medium,6.48,4.38,Yes,Neutral,Yes
81,50,Male,2.02,5.62,1.63,1.81,Poor,Medium,7.54,9.1,No,Negative,No
82,59,Female,7.26,6.64,1.25,8.02,Poor,Low,4.78,0.23,No,Neutral,No
83,48,Other,6.51,2.21,2.3,1.13,Excellent,Low,7.5,1.21,Yes,Neutral,No
84,18,Female,4.77,6.24,3.01,4.47,Excellent,Low,4.52,8.2,No,Neutral,Yes
85,36,Other,7.66,0.11,1.22,9.26,Poor,High,6.63,0.46,No,Positive,No
86,44,Other,5.54,1.17,0.55,10.89,Fair,Medium,4.03,6.27,Yes,Neutral,No
87,60,Female,1.69,7.5,1.44,6.69,Poor,High,8.13,0.85,No,Positive,No
88,19,Other,11.33,2.4,3.19,8.07,Fair,Medium,4.77,2.22,Yes,Neutral,Yes
89,64,Female,3.1,3.56,1.4,1.02,Fair,High,4.99,9.79,Yes,Negative,Yes
90,22,Female,11.11,1.5,1.58,13.31,Good,Medium,4.34,2.66,No,Neutral,Yes
91,51,Female,9.65,5.54,3.76,7.5,Good,Low,4.28,4.65,No,Negative,Yes
92,40,Female,1.16,0.17,3.43,6.95,Excellent,Medium,8.23,3.5,No,Neutral,No
93,28,Other,5.03,2.43,3.66,3.87,Good,Low,5.11,2.24,Yes,Positive,Yes
94,23,Female,3.4,1.01,0.03,7.96,Poor,Medium,6.33,4.05,Yes,Positive,Yes
95,51,Other,3.16,7.44,1.58,10.28,Poor,Low,7.69,8.36,No,Neutral,Yes
96,48,Male,9.01,6.8,1.02,11.19,Fair,Medium,6.68,2.79,Yes,Neutral,No
97,44,Male,1.51,3.04,3.81,2.61,Good,Medium,8.82,6.66,No,Negative,No
98,34,Female,4.61,6.27,0.5,8.08,Poor,High,4.8,2.28,Yes,Negative,Yes
99,51,Male,8.68,3.66,1.95,14.71,Excellent,Low,5.17,4.83,Yes,Positive,Yes
100,35,Female,5.44,4.65,2.22,13.41,Poor,Low,8.76,4.89,No,Positive,No
101,46,Female,6.35,4.4,3.33,12.43,Good,High,5.88,1.85,No,Negative,No
102,60,Other,5.04,0.55,0.69,3.5,Poor,High,4.09,3.41,Yes,Positive,Yes
103,59,Male,6.65,1.98,0.63,6.53,Excellent,Low,4.79,5.12,No,Positive,No
104,29,Female,2.04,1.5,0.11,6.69,Fair,Medium,7.66,2.96,Yes,Neutral,Yes
105,45,Other,3.62,4.73,3.31,6.73,Fair,Low,7.72,7.96,Yes,Positive,No
106,35,Other,6.8,6.16,4.6,6.88,Fair,Low,8.33,8.28,No,Negative,Yes
107,63,Male,2.15,0.8,4.2,2.1,Excellent,Low,8.24,2.34,Yes,Negative,No
108,32,Other,4.63,3.31,3.66,2.3,Fair,Low,6.98,5.32,No,Neutral,Yes
109,29,Male,5.88,6.35,0.36,10.74,Good,High,6.28,9.69,No,Positive,Yes
110,44,Male,3.0,2.99,3.06,9.14,Good,Low,5.42,7.4,Yes,Neutral,No
111,19,Female,10.11,7.19,0.17,11.45,Excellent,Low,8.71,9.18,No,Positive,No
112,20,Male,11.98,1.87,0.74,10.68,Fair,Medium,6.99,6.03,Yes,Positive,No
113,50,Other,3.69,2.21,1.96,7.94,Poor,High,8.55,7.03,No,Positive,Yes
114,53,Female,3.29,0.12,0.95,11.8,Good,High,7.17,1.57,Yes,Positive,Yes
115,53,Other,1.55,2.21,0.09,2.96,Excellent,Medium,8.64,2.29,Yes,Negative,Yes
116,56,Other,4.37,2.39,1.61,1.39,Good,Medium,5.94,8.39,No,Positive,No
117,19,Male,11.14,6.27,3.15,13.1,Good,Low,5.4,5.75,No,Neutral,Yes
118,54,Female,5.52,0.5,2.05,14.28,Excellent,High,4.56,0.05,No,Neutral,Yes
119,45,Male,1.28,7.18,0.69,3.19,Poor,High,8.59,7.34,Yes,Negative,Yes
120,61,Female,5.7,4.07,2.19,8.79,Fair,Medium,5.51,5.16,No,Positive,No
121,59,Other,1.66,7.38,3.18,5.55,Excellent,High,4.4,6.51,Yes,Neutral,Yes
122,54,Male,4.54,3.84,2.17,9.28,Fair,Low,7.25,9.93,No,Neutral,No
123,29,Other,4.63,4.27,0.91,3.76,Good,Medium,6.09,3.36,No,Neutral,Yes
124,19,Other,4.41,1.93,1.83,9.98,Good,Low,5.93,7.64,No,Negative,No
125,34,Female,4.31,0.94,2.75,5.58,Excellent,High,4.49,8.86,Yes,Negative,No
126,62,Other,8.14,2.69,3.7,14.55,Excellent,High,6.15,4.1,No,Positive,Yes
127,20,Other,10.84,1.7,2.61,13.17,Fair,Medium,5.57,9.0,Yes,Positive,Yes
128,18,Female,4.88,0.07,2.91,8.63,Excellent,High,4.26,3.6,No,Neutral,Yes
129,42,Male,6.12,6.7,4.5,4.34,Good,Low,6.36,8.66,No,Positive,No
130,58,Female,3.08,0.77,2.72,5.93,Fair,High,8.99,4.56,No,Neutral,No
131,47,Other,11.0,1.64,4.33,8.62,Excellent,Medium,4.34,4.44,No,Positive,Yes
132,63,Male,5.81,1.44,1.76,1.05,Good,Medium,5.86,8.4,Yes,Positive,Yes
133,48,Female,8.64,1.18,4.9,8.57,Fair,Low,4.48,9.93,No,Neutral,No
134,25,Male,4.81,7.0,3.58,13.65,Good,Low,6.31,9.26,Yes,Neutral,No
135,50,Male,11.63,3.33,1.87,1.78,Poor,Medium,8.57,8.47,No,Neutral,Yes
136,46,Male,2.01,0.32,3.72,9.45,Good,Medium,5.09,3.01,No,Negative,No
137,45,Other,5.79,0.3,4.41,14.73,Good,Low,5.52,6.12,No,Negative,No
138,64,Female,11.59,5.33,4.5,13.11,Fair,High,5.16,4.86,No,Positive,Yes
139,26,Female,11.84,6.76,0.4,14.89,Poor,Medium,5.22,2.5,No,Neutral,No
140,20,Other,10.94,3.41,0.96,3.32,Excellent,Low,8.66,6.07,No,Positive,No
141,56,Other,2.42,2.68,1.18,3.36,Excellent,Low,4.67,2.91,No,Neutral,No
142,39,Other,3.74,1.28,0.8,10.08,Fair,High,4.1,9.58,No,Neutral,Yes
143,35,Female,4.02,5.24,3.04,9.99,Poor,Medium,8.97,0.66,Yes,Neutral,Yes
144,38,Male,11.49,4.36,2.09,13.41,Good,High,4.7,5.6,Yes,Positive,Yes
145,58,Other,5.46,1.28,4.59,13.92,Fair,High,5.32,8.41,No,Neutral,No
146,63,Male,6.91,5.97,2.83,6.26,Poor,Low,8.61,8.03,No,Negative,Yes
147,52,Other,2.17,6.89,1.54,2.56,Excellent,Medium,7.35,0.44,No,Neutral,Yes
148,64,Female,9.45,2.64,4.97,11.34,Good,High,6.93,9.98,No,Positive,Yes
149,55,Male,10.41,6.62,3.23,3.42,Excellent,Medium,5.57,5.22,Yes,Neutral,Yes
150,25,Male,10.5,6.98,3.8,13.15,Good,High,4.03,1.29,Yes,Negative,Yes
151,39,Female,1.68,2.08,0.27,14.82,Poor,Low,5.43,2.58,No,Neutral,No
152,35,Male,3.46,1.32,4.48,4.84,Fair,Medium,4.06,6.62,No,Neutral,No
153,52,Male,2.15,6.29,2.9,8.53,Good,Medium,8.59,2.66,No,Negative,Yes
154,50,Other,3.37,6.3,1.54,6.33,Excellent,Medium,8.55,9.22,No,Neutral,No
155,63,Female,2.47,3.28,2.87,1.8,Good,High,4.08,0.84,Yes,Neutral,Yes
156,63,Other,2.63,0.03,1.57,3.0,Poor,Low,8.6,1.24,Yes,Neutral,No
157,35,Female,6.57,0.33,3.72,5.42,Poor,Low,8.37,8.57,No,Negative,No
158,42,Other,3.82,2.56,4.05,3.04,Good,Medium,6.13,9.94,Yes,Positive,Yes
159,53,Male,1.57,0.84,2.73,8.41,Fair,Medium,6.07,9.5,Yes,Positive,Yes
160,28,Female,5.73,1.04,3.31,14.39,Poor,Medium,6.77,3.74,No,Neutral,Yes
161,56,Other,8.36,3.87,0.02,13.22,Excellent,Medium,4.86,6.52,No,Positive,Yes
162,35,Male,9.69,2.26,3.26,6.7,Good,Low,6.54,3.64,No,Negative,No
163,39,Male,4.04,7.93,1.3,12.95,Fair,Low,8.01,0.48,Yes,Neutral,Yes
164,34,Female,11.87,0.2,0.56,12.18,Fair,High,4.09,0.96,Yes,Neutral,No
165,56,Other,11.36,4.62,0.36,11.91,Poor,Medium,6.13,2.26,No,Neutral,Yes
166,26,Male,8.57,7.76,1.28,12.54,Excellent,High,5.91,2.92,Yes,Neutral,Yes
167,29,Male,5.56,6.75,3.84,4.52,Fair,Low,7.2,7.87,Yes,Neutral,Yes
168,29,Female,4.04,2.0,1.35,10.08,Excellent,Low,8.78,5.72,No,Negative,No
169,46,Male,5.43,0.01,1.66,7.14,Fair,High,6.74,2.56,No,Neutral,No
170,51,Female,9.73,5.65,4.83,10.72,Good,High,5.34,8.59,No,Neutral,Yes
171,55,Female,7.22,5.78,3.25,7.68,Poor,High,8.18,0.78,No,Negative,No
172,33,Male,8.6,1.11,4.54,5.19,Good,Low,5.01,3.64,Yes,Negative,No
173,18,Female,10.93,6.34,2.01,7.6,Excellent,Low,8.07,3.77,No,Negative,No
174,29,Male,3.66,2.12,4.32,12.0,Fair,High,7.68,5.02,Yes,Neutral,Yes
175,30,Male,2.48,2.44,2.98,2.48,Good,Medium,5.43,5.49,No,Neutral,Yes
176,27,Male,6.16,4.18,1.14,7.86,Fair,Low,8.39,3.0,No,Negative,Yes
177,26,Male,7.18,7.8,3.98,13.22,Excellent,Low,5.78,6.08,No,Negative,No
178,21,Male,5.9,4.77,3.04,13.93,Good,Medium,8.19,7.89,Yes,Positive,Yes
179,38,Female,8.38,1.47,3.89,5.0,Excellent,High,6.2,1.94,Yes,Neutral,Yes
180,61,Male,6.75,6.17,2.24,5.52,Fair,Medium,4.43,6.23,No,Neutral,No
181,49,Male,4.29,0.35,0.45,11.63,Good,High,7.8,1.61,Yes,Neutral,Yes
182,54,Other,9.89,6.48,1.25,1.17,Good,High,4.55,2.91,No,Neutral,Yes
183,26,Male,1.03,4.85,1.66,4.61,Excellent,Low,7.97,1.06,No,Negative,Yes
184,65,Other,7.58,7.92,1.62,1.4,Fair,Low,5.2,7.24,No,Neutral,No
185,35,Male,9.17,5.48,2.25,11.45,Fair,Medium,5.93,3.84,Yes,Neutral,Yes
186,51,Male,2.21,5.12,1.19,3.88,Excellent,Medium,8.14,0.1,No,Neutral,No
187,59,Female,5.77,2.18,2.46,10.91,Poor,Medium,8.79,4.0,No,Neutral,No
188,42,Female,4.63,2.22,1.0,13.11,Good,Low,5.84,8.09,Yes,Positive,No
189,50,Male,11.95,1.87,0.25,2.39,Poor,High,4.3,7.09,Yes,Neutral,Yes
190,53,Female,4.62,0.96,0.17,1.84,Good,Medium,7.71,6.41,No,Neutral,Yes
191,37,Other,7.96,5.36,0.71,4.35,Good,Medium,8.74,4.4,Yes,Positive,No
192,25,Female,7.44,6.36,2.46,13.65,Excellent,Low,8.97,5.81,Yes,Negative,No
193,49,Male,8.22,4.6,4.31,12.85,Excellent,High,7.37,2.02,Yes,Neutral,Yes
194,64,Female,8.11,6.28,3.42,4.27,Fair,High,7.02,3.27,No,Positive,Yes
195,46,Male,10.59,7.1,1.26,6.28,Excellent,High,5.7,5.13,Yes,Positive,No
196,65,Other,11.86,4.95,2.14,1.45,Poor,High,6.16,5.38,Yes,Neutral,No
197,65,Female,11.84,0.79,2.69,11.5,Excellent,High,7.47,7.01,No,Neutral,Yes
198,53,Female,3.09,0.34,1.57,14.05,Excellent,Medium,4.58,7.31,No,Negative,Yes
199,18,Other,3.92,2.44,3.21,4.41,Excellent,Medium,5.4,7.98,No,Negative,Yes
200,31,Male,7.62,4.04,3.29,14.63,Fair,Medium,6.89,3.94,No,Negative,No
201,56,Female,11.24,2.4,1.45,7.72,Good,Medium,7.66,0.45,Yes,Negative,No
202,64,Female,7.69,7.3,2.66,14.9,Fair,Low,7.97,7.55,No,Neutral,No
203,52,Male,6.85,6.18,1.76,12.67,Fair,High,8.22,9.03,Yes,Neutral,Yes
204,21,Male,10.83,0.73,0.66,11.48,Good,High,7.33,8.69,No,Negative,No
205,64,Other,8.35,2.72,3.73,14.6,Good,High,8.38,5.61,Yes,Negative,No
206,29,Male,8.84,5.93,1.03,6.54,Excellent,Low,4.31,3.86,No,Neutral,Yes
207,36,Male,1.14,6.57,0.03,1.38,Excellent,Low,6.9,0.15,Yes,Neutral,No
208,62,Other,5.84,6.76,2.79,1.74,Poor,Low,6.18,9.36,Yes,Positive,Yes
209,60,Male,8.33,1.05,2.3,14.98,Fair,Low,4.31,6.08,No,Neutral,Yes
210,39,Male,7.67,3.24,1.66,6.33,Poor,Medium,7.03,8.93,No,Neutral,No
211,27,Female,6.45,1.11,0.49,7.6,Fair,High,4.93,2.36,Yes,Negative,Yes
212,47,Female,11.47,3.18,3.73,1.97,Good,Medium,7.98,8.35,Yes,Neutral,No
213,40,Other,10.71,4.11,0.26,3.24,Fair,High,6.18,3.19,Yes,Neutral,No
214,58,Female,11.61,2.12,4.44,1.97,Good,Low,7.92,9.2,Yes,Negative,No
215,30,Male,8.15,5.74,3.46,9.58,Excellent,High,6.31,6.89,Yes,Positive,Yes
216,36,Other,5.83,1.55,2.66,4.29,Fair,Medium,4.38,9.46,Yes,Neutral,No
217,39,Female,4.56,1.28,4.17,2.73,Poor,Low,4.83,6.54,Yes,Negative,No
218,52,Male,10.61,4.53,4.48,2.04,Poor,High,5.92,3.41,Yes,Neutral,No
219,42,Other,3.86,2.75,0.45,12.93,Good,High,4.63,9.29,Yes,Negative,Yes
220,22,Male,10.82,1.88,3.47,7.56,Excellent,Medium,8.89,5.73,Yes,Neutral,Yes
221,52,Female,5.16,6.61,0.43,7.97,Good,Low,5.5,1.67,Yes,Negative,Yes
222,55,Other,9.9,3.86,4.91,5.24,Fair,Medium,5.0,6.72,Yes,Neutral,No
223,38,Female,5.69,0.3,1.45,8.03,Fair,Low,7.71,1.55,Yes,Neutral,Yes
224,38,Female,7.1,3.08,1.08,10.59,Good,High,8.63,9.35,Yes,Neutral,No
225,49,Female,8.78,7.33,2.26,2.54,Poor,Low,4.64,3.8,No,Positive,No
226,42,Male,3.78,7.54,3.26,4.86,Poor,Low,5.7,8.64,No,Negative,Yes
227,25,Male,5.21,6.92,3.97,7.5,Fair,Medium,4.76,8.71,No,Positive,No
228,36,Other,5.34,1.39,2.09,5.4,Excellent,High,7.17,9.62,Yes,Positive,No
229,45,Female,6.31,7.16,4.93,4.75,Good,High,7.16,8.6,No,Negative,No
230,23,Other,7.35,4.04,3.42,12.37,Good,High,8.42,5.27,No,Neutral,Yes
231,60,Male,1.82,2.27,4.4,10.55,Fair,Medium,7.21,3.27,No,Negative,No
232,64,Other,2.53,4.1,4.82,10.13,Fair,Low,4.5,3.56,Yes,Positive,Yes
233,44,Female,5.14,5.82,2.2,3.99,Good,Medium,5.26,8.77,No,Neutral,No
234,34,Male,7.02,3.56,1.83,1.64,Excellent,Low,6.19,8.55,Yes,Positive,No
235,33,Other,9.24,6.93,0.89,14.33,Good,High,6.91,0.54,No,Negative,No
236,26,Male,3.28,3.44,0.14,9.08,Fair,Medium,4.05,2.05,Yes,Neutral,Yes
237,49,Male,8.04,3.1,3.59,14.3,Excellent,Medium,7.6,8.9,No,Negative,No
238,44,Female,7.91,3.52,3.0,9.94,Poor,Medium,7.04,2.86,No,Negative,Yes
239,37,Male,5.2,4.55,0.4,14.61,Good,Low,6.79,4.51,No,Positive,Yes
240,28,Male,1.83,3.68,2.2,5.29,Poor,High,4.22,2.47,No,Neutral,No
241,41,Other,4.15,3.44,2.64,8.62,Good,Medium,4.02,7.95,No,Positive,Yes
242,26,Male,3.61,3.2,3.3,1.46,Poor,Low,5.18,3.23,No,Negative,Yes
243,59,Male,4.99,7.07,1.18,3.83,Poor,Medium,5.12,8.7,Yes,Negative,Yes
244,43,Other,7.72,5.92,2.52,10.49,Fair,High,5.89,0.2,No,Neutral,No
245,40,Female,4.46,2.06,4.31,3.29,Good,Low,8.53,1.89,Yes,Positive,Yes
246,55,Male,6.07,6.88,4.11,2.84,Good,Low,7.81,2.2,No,Negative,Yes
247,56,Other,6.92,4.58,2.8,10.84,Poor,High,5.68,9.53,No,Positive,Yes
248,50,Male,11.74,2.44,3.05,10.61,Fair,Low,5.74,8.31,No,Positive,No
249,46,Female,9.94,5.5,3.2,8.24,Excellent,High,6.53,0.26,No,Positive,Yes
250,23,Male,9.57,1.18,0.76,9.46,Poor,Low,6.64,2.54,Yes,Negative,No
251,47,Male,3.46,2.98,0.29,6.23,Fair,Medium,5.62,1.49,Yes,Neutral,Yes
252,39,Other,10.81,2.34,2.34,4.81,Poor,Medium,8.19,6.46,Yes,Negative,Yes
253,48,Other,10.11,6.63,1.45,9.77,Good,Low,8.07,1.08,No,Neutral,No
254,31,Male,2.58,1.9,4.46,5.96,Poor,Medium,4.82,2.56,No,Positive,No
255,55,Female,7.88,5.39,0.29,9.36,Poor,Medium,4.12,9.05,Yes,Neutral,No
256,21,Other,6.22,3.98,4.37,3.01,Good,High,6.09,8.11,Yes,Negative,Yes
257,19,Female,10.09,0.9,0.81,12.94,Good,Medium,4.49,4.82,No,Positive,Yes
258,25,Other,9.9,5.54,2.2,5.24,Fair,High,5.43,3.71,No,Positive,No
259,63,Other,1.07,3.39,1.35,8.69,Good,Medium,5.79,1.46,Yes,Neutral,No
260,49,Male,7.35,4.11,0.36,6.36,Excellent,Low,4.17,3.95,Yes,Neutral,Yes
261,27,Male,1.22,7.33,1.78,13.56,Good,Medium,8.53,7.33,No,Positive,Yes
262,27,Male,3.03,0.39,3.54,1.59,Poor,Medium,7.59,2.74,Yes,Neutral,Yes
263,20,Male,6.86,5.16,4.64,1.19,Good,Medium,8.14,5.97,No,Positive,Yes
264,58,Other,11.79,5.57,4.65,2.69,Excellent,High,5.2,1.78,No,Positive,Yes
265,61,Male,3.13,1.94,0.14,6.21,Poor,High,7.46,8.75,No,Negative,No
266,22,Female,5.88,1.84,2.73,7.26,Excellent,Medium,7.01,0.61,Yes,Negative,No
267,22,Other,10.29,0.93,1.56,3.1,Fair,Low,7.45,0.29,No,Positive,No
268,62,Other,3.78,3.58,0.72,5.14,Good,High,7.1,9.3,Yes,Neutral,No
269,64,Other,9.84,1.13,4.51,13.43,Good,Medium,5.26,9.32,No,Negative,No
270,34,Female,5.43,4.77,1.27,11.44,Excellent,Low,5.68,9.69,No,Neutral,No
271,33,Other,6.29,0.65,2.44,1.57,Excellent,High,5.21,4.16,Yes,Negative,Yes
272,39,Male,4.1,2.82,4.71,10.28,Good,Low,6.7,2.52,No,Positive,No
273,23,Male,11.59,7.87,2.42,6.18,Excellent,Medium,4.05,1.07,No,Neutral,Yes
274,34,Male,4.85,6.26,1.61,8.34,Excellent,Medium,8.12,8.44,Yes,Positive,Yes
275,33,Other,11.19,6.34,1.58,5.83,Good,Medium,6.41,8.33,Yes,Negative,Yes
276,47,Other,6.43,7.89,2.66,2.47,Excellent,High,4.78,9.47,No,Positive,Yes
277,38,Other,9.86,1.99,0.02,13.62,Excellent,Medium,7.04,9.23,No,Neutral,Yes
278,45,Male,3.04,5.23,2.16,7.5,Good,Medium,6.78,0.47,No,Neutral,Yes
279,45,Other,4.7,6.21,2.84,12.73,Fair,High,6.1,2.84,No,Negative,No
280,30,Male,9.99,7.06,4.96,7.22,Excellent,Medium,5.48,1.3,No,Neutral,Yes
281,51,Male,8.94,1.64,0.55,3.8,Excellent,High,6.52,3.91,Yes,Neutral,Yes
282,62,Male,8.04,1.04,2.56,3.01,Excellent,Medium,5.49,8.67,No,Negative,Yes
